Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,I trust in the timing of my life.,positive,,Translated: I trust in the timing of my life. to bg,Translated: I trust in the timing of my life. to hr,Translated: I trust in the timing of my life. to cs,Translated: I trust in the timing of my life. to da,Translated: I trust in the timing of my life. to nl,Translated: I trust in the timing of my life. to en,Translated: I trust in the timing of my life. to et
,,,I am a source of love and inspiration.,positive,,Translated: I am a source of love and inspiration. to bg,Translated: I am a source of love and inspiration. to hr,Translated: I am a source of love and inspiration. to cs,Translated: I am a source of love and inspiration. to da,Translated: I am a source of love and inspiration. to nl,Translated: I am a source of love and inspiration. to en,Translated: I am a source of love and inspiration. to et
,,,I am grateful for the lessons that challenges bring.,positive,,Translated: I am grateful for the lessons that challenges bring. to bg,Translated: I am grateful for the lessons that challenges bring. to hr,Translated: I am grateful for the lessons that challenges bring. to cs,Translated: I am grateful for the lessons that challenges bring. to da,Translated: I am grateful for the lessons that challenges bring. to nl,Translated: I am grateful for the lessons that challenges bring. to en,Translated: I am grateful for the lessons that challenges bring. to et
,,,I am a magnet for success and positive outcomes.,positive,,Translated: I am a magnet for success and positive outcomes. to bg,Translated: I am a magnet for success and positive outcomes. to hr,Translated: I am a magnet for success and positive outcomes. to cs,Translated: I am a magnet for success and positive outcomes. to da,Translated: I am a magnet for success and positive outcomes. to nl,Translated: I am a magnet for success and positive outcomes. to en,Translated: I am a magnet for success and positive outcomes. to et
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr,Translated: I am confident in my ability to achieve my goals. to cs,Translated: I am confident in my ability to achieve my goals. to da,Translated: I am confident in my ability to achieve my goals. to nl,Translated: I am confident in my ability to achieve my goals. to en,Translated: I am confident in my ability to achieve my goals. to et
,,,I am surrounded by opportunities for growth.,positive,,Translated: I am surrounded by opportunities for growth. to bg,Translated: I am surrounded by opportunities for growth. to hr,Translated: I am surrounded by opportunities for growth. to cs,Translated: I am surrounded by opportunities for growth. to da,Translated: I am surrounded by opportunities for growth. to nl,Translated: I am surrounded by opportunities for growth. to en,Translated: I am surrounded by opportunities for growth. to et
,,,I am worthy of all the good things life has to offer.,positive,,Translated: I am worthy of all the good things life has to offer. to bg,Translated: I am worthy of all the good things life has to offer. to hr,Translated: I am worthy of all the good things life has to offer. to cs,Translated: I am worthy of all the good things life has to offer. to da,Translated: I am worthy of all the good things life has to offer. to nl,Translated: I am worthy of all the good things life has to offer. to en,Translated: I am worthy of all the good things life has to offer. to et
,,,I choose to focus on what I can control.,positive,,Translated: I choose to focus on what I can control. to bg,Translated: I choose to focus on what I can control. to hr,Translated: I choose to focus on what I can control. to cs,Translated: I choose to focus on what I can control. to da,Translated: I choose to focus on what I can control. to nl,Translated: I choose to focus on what I can control. to en,Translated: I choose to focus on what I can control. to et
,,,I am a beacon of hope and positivity.,positive,,Translated: I am a beacon of hope and positivity. to bg,Translated: I am a beacon of hope and positivity. to hr,Translated: I am a beacon of hope and positivity. to cs,Translated: I am a beacon of hope and positivity. to da,Translated: I am a beacon of hope and positivity. to nl,Translated: I am a beacon of hope and positivity. to en,Translated: I am a beacon of hope and positivity. to et
,,,I am resilient and can overcome any obstacle.,positive,,Translated: I am resilient and can overcome any obstacle. to bg,Translated: I am resilient and can overcome any obstacle. to hr,Translated: I am resilient and can overcome any obstacle. to cs,Translated: I am resilient and can overcome any obstacle. to da,Translated: I am resilient and can overcome any obstacle. to nl,Translated: I am resilient and can overcome any obstacle. to en,Translated: I am resilient and can overcome any obstacle. to et
,,,I am surrounded by supportive and loving people.,positive,,Translated: I am surrounded by supportive and loving people. to bg,Translated: I am surrounded by supportive and loving people. to hr,Translated: I am surrounded by supportive and loving people. to cs,Translated: I am surrounded by supportive and loving people. to da,Translated: I am surrounded by supportive and loving people. to nl,Translated: I am surrounded by supportive and loving people. to en,Translated: I am surrounded by supportive and loving people. to et
,,,"I am at peace with my past, present, and future.",positive,,"Translated: I am at peace with my past, present, and future. to bg","Translated: I am at peace with my past, present, and future. to hr","Translated: I am at peace with my past, present, and future. to cs","Translated: I am at peace with my past, present, and future. to da","Translated: I am at peace with my past, present, and future. to nl","Translated: I am at peace with my past, present, and future. to en","Translated: I am at peace with my past, present, and future. to et"
,,,I am creating a life filled with joy and purpose.,positive,,Translated: I am creating a life filled with joy and purpose. to bg,Translated: I am creating a life filled with joy and purpose. to hr,Translated: I am creating a life filled with joy and purpose. to cs,Translated: I am creating a life filled with joy and purpose. to da,Translated: I am creating a life filled with joy and purpose. to nl,Translated: I am creating a life filled with joy and purpose. to en,Translated: I am creating a life filled with joy and purpose. to et
,,,I am a powerful creator of my own reality.,positive,,Translated: I am a powerful creator of my own reality. to bg,Translated: I am a powerful creator of my own reality. to hr,Translated: I am a powerful creator of my own reality. to cs,Translated: I am a powerful creator of my own reality. to da,Translated: I am a powerful creator of my own reality. to nl,Translated: I am a powerful creator of my own reality. to en,Translated: I am a powerful creator of my own reality. to et
,,,"I trust the journey, even when I do not understand it.",positive,,"Translated: I trust the journey, even when I do not understand it. to bg","Translated: I trust the journey, even when I do not understand it. to hr","Translated: I trust the journey, even when I do not understand it. to cs","Translated: I trust the journey, even when I do not understand it. to da","Translated: I trust the journey, even when I do not understand it. to nl","Translated: I trust the journey, even when I do not understand it. to en","Translated: I trust the journey, even when I do not understand it. to et"
,,,I am grateful for the beauty that life brings.,positive,,Translated: I am grateful for the beauty that life brings. to bg,Translated: I am grateful for the beauty that life brings. to hr,Translated: I am grateful for the beauty that life brings. to cs,Translated: I am grateful for the beauty that life brings. to da,Translated: I am grateful for the beauty that life brings. to nl,Translated: I am grateful for the beauty that life brings. to en,Translated: I am grateful for the beauty that life brings. to et
,,,I am deserving of all the good things life offers.,positive,,Translated: I am deserving of all the good things life offers. to bg,Translated: I am deserving of all the good things life offers. to hr,Translated: I am deserving of all the good things life offers. to cs,Translated: I am deserving of all the good things life offers. to da,Translated: I am deserving of all the good things life offers. to nl,Translated: I am deserving of all the good things life offers. to en,Translated: I am deserving of all the good things life offers. to et
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr","Translated: I am confident, capable, and strong. to cs","Translated: I am confident, capable, and strong. to da","Translated: I am confident, capable, and strong. to nl","Translated: I am confident, capable, and strong. to en","Translated: I am confident, capable, and strong. to et"
,,,I attract positive energy with every breath I take.,positive,,Translated: I attract positive energy with every breath I take. to bg,Translated: I attract positive energy with every breath I take. to hr,Translated: I attract positive energy with every breath I take. to cs,Translated: I attract positive energy with every breath I take. to da,Translated: I attract positive energy with every breath I take. to nl,Translated: I attract positive energy with every breath I take. to en,Translated: I attract positive energy with every breath I take. to et
,,,"I am a vessel of love, compassion, and kindness.",positive,,"Translated: I am a vessel of love, compassion, and kindness. to bg","Translated: I am a vessel of love, compassion, and kindness. to hr","Translated: I am a vessel of love, compassion, and kindness. to cs","Translated: I am a vessel of love, compassion, and kindness. to da","Translated: I am a vessel of love, compassion, and kindness. to nl","Translated: I am a vessel of love, compassion, and kindness. to en","Translated: I am a vessel of love, compassion, and kindness. to et"
,,,I am aligned with the abundance of the universe.,positive,,Translated: I am aligned with the abundance of the universe. to bg,Translated: I am aligned with the abundance of the universe. to hr,Translated: I am aligned with the abundance of the universe. to cs,Translated: I am aligned with the abundance of the universe. to da,Translated: I am aligned with the abundance of the universe. to nl,Translated: I am aligned with the abundance of the universe. to en,Translated: I am aligned with the abundance of the universe. to et
,,,I am a source of inspiration for others.,positive,,Translated: I am a source of inspiration for others. to bg,Translated: I am a source of inspiration for others. to hr,Translated: I am a source of inspiration for others. to cs,Translated: I am a source of inspiration for others. to da,Translated: I am a source of inspiration for others. to nl,Translated: I am a source of inspiration for others. to en,Translated: I am a source of inspiration for others. to et
,,,I am creating a life filled with passion and purpose.,positive,,Translated: I am creating a life filled with passion and purpose. to bg,Translated: I am creating a life filled with passion and purpose. to hr,Translated: I am creating a life filled with passion and purpose. to cs,Translated: I am creating a life filled with passion and purpose. to da,Translated: I am creating a life filled with passion and purpose. to nl,Translated: I am creating a life filled with passion and purpose. to en,Translated: I am creating a life filled with passion and purpose. to et
,,,I am resilient and can overcome any challenge.,positive,,Translated: I am resilient and can overcome any challenge. to bg,Translated: I am resilient and can overcome any challenge. to hr,Translated: I am resilient and can overcome any challenge. to cs,Translated: I am resilient and can overcome any challenge. to da,Translated: I am resilient and can overcome any challenge. to nl,Translated: I am resilient and can overcome any challenge. to en,Translated: I am resilient and can overcome any challenge. to et
,,,I am surrounded by opportunities for growth.,positive,,Translated: I am surrounded by opportunities for growth. to bg,Translated: I am surrounded by opportunities for growth. to hr,Translated: I am surrounded by opportunities for growth. to cs,Translated: I am surrounded by opportunities for growth. to da,Translated: I am surrounded by opportunities for growth. to nl,Translated: I am surrounded by opportunities for growth. to en,Translated: I am surrounded by opportunities for growth. to et
,,,I am worthy of success in all areas of my life.,positive,,Translated: I am worthy of success in all areas of my life. to bg,Translated: I am worthy of success in all areas of my life. to hr,Translated: I am worthy of success in all areas of my life. to cs,Translated: I am worthy of success in all areas of my life. to da,Translated: I am worthy of success in all areas of my life. to nl,Translated: I am worthy of success in all areas of my life. to en,Translated: I am worthy of success in all areas of my life. to et
,,,I am a powerful creator of my own reality.,positive,,Translated: I am a powerful creator of my own reality. to bg,Translated: I am a powerful creator of my own reality. to hr,Translated: I am a powerful creator of my own reality. to cs,Translated: I am a powerful creator of my own reality. to da,Translated: I am a powerful creator of my own reality. to nl,Translated: I am a powerful creator of my own reality. to en,Translated: I am a powerful creator of my own reality. to et
,,,I release all fears and doubts about my abilities.,positive,,Translated: I release all fears and doubts about my abilities. to bg,Translated: I release all fears and doubts about my abilities. to hr,Translated: I release all fears and doubts about my abilities. to cs,Translated: I release all fears and doubts about my abilities. to da,Translated: I release all fears and doubts about my abilities. to nl,Translated: I release all fears and doubts about my abilities. to en,Translated: I release all fears and doubts about my abilities. to et
,,,I am open to receiving the miracles of life.,positive,,Translated: I am open to receiving the miracles of life. to bg,Translated: I am open to receiving the miracles of life. to hr,Translated: I am open to receiving the miracles of life. to cs,Translated: I am open to receiving the miracles of life. to da,Translated: I am open to receiving the miracles of life. to nl,Translated: I am open to receiving the miracles of life. to en,Translated: I am open to receiving the miracles of life. to et
,,,I choose happiness and joy in every moment.,positive,,Translated: I choose happiness and joy in every moment. to bg,Translated: I choose happiness and joy in every moment. to hr,Translated: I choose happiness and joy in every moment. to cs,Translated: I choose happiness and joy in every moment. to da,Translated: I choose happiness and joy in every moment. to nl,Translated: I choose happiness and joy in every moment. to en,Translated: I choose happiness and joy in every moment. to et
,,,I am a magnet for positive and fulfilling relationships.,positive,,Translated: I am a magnet for positive and fulfilling relationships. to bg,Translated: I am a magnet for positive and fulfilling relationships. to hr,Translated: I am a magnet for positive and fulfilling relationships. to cs,Translated: I am a magnet for positive and fulfilling relationships. to da,Translated: I am a magnet for positive and fulfilling relationships. to nl,Translated: I am a magnet for positive and fulfilling relationships. to en,Translated: I am a magnet for positive and fulfilling relationships. to et
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr,Translated: I am confident in my ability to achieve my goals. to cs,Translated: I am confident in my ability to achieve my goals. to da,Translated: I am confident in my ability to achieve my goals. to nl,Translated: I am confident in my ability to achieve my goals. to en,Translated: I am confident in my ability to achieve my goals. to et
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr,Translated: I am constantly evolving into the best version of myself. to cs,Translated: I am constantly evolving into the best version of myself. to da,Translated: I am constantly evolving into the best version of myself. to nl,Translated: I am constantly evolving into the best version of myself. to en,Translated: I am constantly evolving into the best version of myself. to et
,,,I am a magnet for prosperity and abundance.,positive,,Translated: I am a magnet for prosperity and abundance. to bg,Translated: I am a magnet for prosperity and abundance. to hr,Translated: I am a magnet for prosperity and abundance. to cs,Translated: I am a magnet for prosperity and abundance. to da,Translated: I am a magnet for prosperity and abundance. to nl,Translated: I am a magnet for prosperity and abundance. to en,Translated: I am a magnet for prosperity and abundance. to et
,,,I trust in the process of life and let go of control.,positive,,Translated: I trust in the process of life and let go of control. to bg,Translated: I trust in the process of life and let go of control. to hr,Translated: I trust in the process of life and let go of control. to cs,Translated: I trust in the process of life and let go of control. to da,Translated: I trust in the process of life and let go of control. to nl,Translated: I trust in the process of life and let go of control. to en,Translated: I trust in the process of life and let go of control. to et
,,,"I am surrounded by love, and I attract loving relationships.",positive,,"Translated: I am surrounded by love, and I attract loving relationships. to bg","Translated: I am surrounded by love, and I attract loving relationships. to hr","Translated: I am surrounded by love, and I attract loving relationships. to cs","Translated: I am surrounded by love, and I attract loving relationships. to da","Translated: I am surrounded by love, and I attract loving relationships. to nl","Translated: I am surrounded by love, and I attract loving relationships. to en","Translated: I am surrounded by love, and I attract loving relationships. to et"
,,,"I am a beacon of light, spreading positivity to others.",positive,,"Translated: I am a beacon of light, spreading positivity to others. to bg","Translated: I am a beacon of light, spreading positivity to others. to hr","Translated: I am a beacon of light, spreading positivity to others. to cs","Translated: I am a beacon of light, spreading positivity to others. to da","Translated: I am a beacon of light, spreading positivity to others. to nl","Translated: I am a beacon of light, spreading positivity to others. to en","Translated: I am a beacon of light, spreading positivity to others. to et"
,,,I am grateful for the simple pleasures in life.,positive,,Translated: I am grateful for the simple pleasures in life. to bg,Translated: I am grateful for the simple pleasures in life. to hr,Translated: I am grateful for the simple pleasures in life. to cs,Translated: I am grateful for the simple pleasures in life. to da,Translated: I am grateful for the simple pleasures in life. to nl,Translated: I am grateful for the simple pleasures in life. to en,Translated: I am grateful for the simple pleasures in life. to et
,,,I am a unique and valuable individual.,positive,,Translated: I am a unique and valuable individual. to bg,Translated: I am a unique and valuable individual. to hr,Translated: I am a unique and valuable individual. to cs,Translated: I am a unique and valuable individual. to da,Translated: I am a unique and valuable individual. to nl,Translated: I am a unique and valuable individual. to en,Translated: I am a unique and valuable individual. to et
,,,I am in harmony with the energy of the universe.,positive,,Translated: I am in harmony with the energy of the universe. to bg,Translated: I am in harmony with the energy of the universe. to hr,Translated: I am in harmony with the energy of the universe. to cs,Translated: I am in harmony with the energy of the universe. to da,Translated: I am in harmony with the energy of the universe. to nl,Translated: I am in harmony with the energy of the universe. to en,Translated: I am in harmony with the energy of the universe. to et
,,,I am deserving of all the good things coming my way.,positive,,Translated: I am deserving of all the good things coming my way. to bg,Translated: I am deserving of all the good things coming my way. to hr,Translated: I am deserving of all the good things coming my way. to cs,Translated: I am deserving of all the good things coming my way. to da,Translated: I am deserving of all the good things coming my way. to nl,Translated: I am deserving of all the good things coming my way. to en,Translated: I am deserving of all the good things coming my way. to et
,,,I am a positive influence on those around me.,positive,,Translated: I am a positive influence on those around me. to bg,Translated: I am a positive influence on those around me. to hr,Translated: I am a positive influence on those around me. to cs,Translated: I am a positive influence on those around me. to da,Translated: I am a positive influence on those around me. to nl,Translated: I am a positive influence on those around me. to en,Translated: I am a positive influence on those around me. to et
,,,I am at peace with my past and excited for my future.,positive,,Translated: I am at peace with my past and excited for my future. to bg,Translated: I am at peace with my past and excited for my future. to hr,Translated: I am at peace with my past and excited for my future. to cs,Translated: I am at peace with my past and excited for my future. to da,Translated: I am at peace with my past and excited for my future. to nl,Translated: I am at peace with my past and excited for my future. to en,Translated: I am at peace with my past and excited for my future. to et
,,,I am a loving and compassionate friend.,positive,,Translated: I am a loving and compassionate friend. to bg,Translated: I am a loving and compassionate friend. to hr,Translated: I am a loving and compassionate friend. to cs,Translated: I am a loving and compassionate friend. to da,Translated: I am a loving and compassionate friend. to nl,Translated: I am a loving and compassionate friend. to en,Translated: I am a loving and compassionate friend. to et
,,,I am confident and believe in my abilities.,positive,,Translated: I am confident and believe in my abilities. to bg,Translated: I am confident and believe in my abilities. to hr,Translated: I am confident and believe in my abilities. to cs,Translated: I am confident and believe in my abilities. to da,Translated: I am confident and believe in my abilities. to nl,Translated: I am confident and believe in my abilities. to en,Translated: I am confident and believe in my abilities. to et
,,,I am open to receiving the abundance of the universe.,positive,,Translated: I am open to receiving the abundance of the universe. to bg,Translated: I am open to receiving the abundance of the universe. to hr,Translated: I am open to receiving the abundance of the universe. to cs,Translated: I am open to receiving the abundance of the universe. to da,Translated: I am open to receiving the abundance of the universe. to nl,Translated: I am open to receiving the abundance of the universe. to en,Translated: I am open to receiving the abundance of the universe. to et
,,,"I am worthy of love, respect, and kindness.",positive,,"Translated: I am worthy of love, respect, and kindness. to bg","Translated: I am worthy of love, respect, and kindness. to hr","Translated: I am worthy of love, respect, and kindness. to cs","Translated: I am worthy of love, respect, and kindness. to da","Translated: I am worthy of love, respect, and kindness. to nl","Translated: I am worthy of love, respect, and kindness. to en","Translated: I am worthy of love, respect, and kindness. to et"
,,,I am constantly growing and evolving.,positive,,Translated: I am constantly growing and evolving. to bg,Translated: I am constantly growing and evolving. to hr,Translated: I am constantly growing and evolving. to cs,Translated: I am constantly growing and evolving. to da,Translated: I am constantly growing and evolving. to nl,Translated: I am constantly growing and evolving. to en,Translated: I am constantly growing and evolving. to et
,,,"I am resilient, and I bounce back from setbacks.",positive,,"Translated: I am resilient, and I bounce back from setbacks. to bg","Translated: I am resilient, and I bounce back from setbacks. to hr","Translated: I am resilient, and I bounce back from setbacks. to cs","Translated: I am resilient, and I bounce back from setbacks. to da","Translated: I am resilient, and I bounce back from setbacks. to nl","Translated: I am resilient, and I bounce back from setbacks. to en","Translated: I am resilient, and I bounce back from setbacks. to et"
,,,I am a beacon of hope and inspiration.,positive,,Translated: I am a beacon of hope and inspiration. to bg,Translated: I am a beacon of hope and inspiration. to hr,Translated: I am a beacon of hope and inspiration. to cs,Translated: I am a beacon of hope and inspiration. to da,Translated: I am a beacon of hope and inspiration. to nl,Translated: I am a beacon of hope and inspiration. to en,Translated: I am a beacon of hope and inspiration. to et
,,,I am grateful for the lessons that challenges bring.,positive,,Translated: I am grateful for the lessons that challenges bring. to bg,Translated: I am grateful for the lessons that challenges bring. to hr,Translated: I am grateful for the lessons that challenges bring. to cs,Translated: I am grateful for the lessons that challenges bring. to da,Translated: I am grateful for the lessons that challenges bring. to nl,Translated: I am grateful for the lessons that challenges bring. to en,Translated: I am grateful for the lessons that challenges bring. to et
,,,"I am surrounded by beauty, grace, and harmony.",positive,,"Translated: I am surrounded by beauty, grace, and harmony. to bg","Translated: I am surrounded by beauty, grace, and harmony. to hr","Translated: I am surrounded by beauty, grace, and harmony. to cs","Translated: I am surrounded by beauty, grace, and harmony. to da","Translated: I am surrounded by beauty, grace, and harmony. to nl","Translated: I am surrounded by beauty, grace, and harmony. to en","Translated: I am surrounded by beauty, grace, and harmony. to et"
,,,"I am a magnet for success, and I attract positive outcomes.",positive,,"Translated: I am a magnet for success, and I attract positive outcomes. to bg","Translated: I am a magnet for success, and I attract positive outcomes. to hr","Translated: I am a magnet for success, and I attract positive outcomes. to cs","Translated: I am a magnet for success, and I attract positive outcomes. to da","Translated: I am a magnet for success, and I attract positive outcomes. to nl","Translated: I am a magnet for success, and I attract positive outcomes. to en","Translated: I am a magnet for success, and I attract positive outcomes. to et"
,,,I trust that everything is unfolding for my highest good.,positive,,Translated: I trust that everything is unfolding for my highest good. to bg,Translated: I trust that everything is unfolding for my highest good. to hr,Translated: I trust that everything is unfolding for my highest good. to cs,Translated: I trust that everything is unfolding for my highest good. to da,Translated: I trust that everything is unfolding for my highest good. to nl,Translated: I trust that everything is unfolding for my highest good. to en,Translated: I trust that everything is unfolding for my highest good. to et
,,,I am a powerful force for positive change.,positive,,Translated: I am a powerful force for positive change. to bg,Translated: I am a powerful force for positive change. to hr,Translated: I am a powerful force for positive change. to cs,Translated: I am a powerful force for positive change. to da,Translated: I am a powerful force for positive change. to nl,Translated: I am a powerful force for positive change. to en,Translated: I am a powerful force for positive change. to et
,,,I am a magnet for miracles and serendipitous events.,positive,,Translated: I am a magnet for miracles and serendipitous events. to bg,Translated: I am a magnet for miracles and serendipitous events. to hr,Translated: I am a magnet for miracles and serendipitous events. to cs,Translated: I am a magnet for miracles and serendipitous events. to da,Translated: I am a magnet for miracles and serendipitous events. to nl,Translated: I am a magnet for miracles and serendipitous events. to en,Translated: I am a magnet for miracles and serendipitous events. to et
,,,I am deserving of success and happiness.,positive,,Translated: I am deserving of success and happiness. to bg,Translated: I am deserving of success and happiness. to hr,Translated: I am deserving of success and happiness. to cs,Translated: I am deserving of success and happiness. to da,Translated: I am deserving of success and happiness. to nl,Translated: I am deserving of success and happiness. to en,Translated: I am deserving of success and happiness. to et
,,,I am a source of love and light in the world.,positive,,Translated: I am a source of love and light in the world. to bg,Translated: I am a source of love and light in the world. to hr,Translated: I am a source of love and light in the world. to cs,Translated: I am a source of love and light in the world. to da,Translated: I am a source of love and light in the world. to nl,Translated: I am a source of love and light in the world. to en,Translated: I am a source of love and light in the world. to et
,,,I am open to receiving love and abundance.,positive,,Translated: I am open to receiving love and abundance. to bg,Translated: I am open to receiving love and abundance. to hr,Translated: I am open to receiving love and abundance. to cs,Translated: I am open to receiving love and abundance. to da,Translated: I am open to receiving love and abundance. to nl,Translated: I am open to receiving love and abundance. to en,Translated: I am open to receiving love and abundance. to et
,,,"I am resilient, and I face challenges with courage.",positive,,"Translated: I am resilient, and I face challenges with courage. to bg","Translated: I am resilient, and I face challenges with courage. to hr","Translated: I am resilient, and I face challenges with courage. to cs","Translated: I am resilient, and I face challenges with courage. to da","Translated: I am resilient, and I face challenges with courage. to nl","Translated: I am resilient, and I face challenges with courage. to en","Translated: I am resilient, and I face challenges with courage. to et"
,,,I am a magnet for joy and positive experiences.,positive,,Translated: I am a magnet for joy and positive experiences. to bg,Translated: I am a magnet for joy and positive experiences. to hr,Translated: I am a magnet for joy and positive experiences. to cs,Translated: I am a magnet for joy and positive experiences. to da,Translated: I am a magnet for joy and positive experiences. to nl,Translated: I am a magnet for joy and positive experiences. to en,Translated: I am a magnet for joy and positive experiences. to et
,,,I am worthy of all the blessings in my life.,positive,,Translated: I am worthy of all the blessings in my life. to bg,Translated: I am worthy of all the blessings in my life. to hr,Translated: I am worthy of all the blessings in my life. to cs,Translated: I am worthy of all the blessings in my life. to da,Translated: I am worthy of all the blessings in my life. to nl,Translated: I am worthy of all the blessings in my life. to en,Translated: I am worthy of all the blessings in my life. to et
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr","Translated: I am confident, capable, and strong. to cs","Translated: I am confident, capable, and strong. to da","Translated: I am confident, capable, and strong. to nl","Translated: I am confident, capable, and strong. to en","Translated: I am confident, capable, and strong. to et"
,,,"I am surrounded by love, peace, and tranquility.",positive,,"Translated: I am surrounded by love, peace, and tranquility. to bg","Translated: I am surrounded by love, peace, and tranquility. to hr","Translated: I am surrounded by love, peace, and tranquility. to cs","Translated: I am surrounded by love, peace, and tranquility. to da","Translated: I am surrounded by love, peace, and tranquility. to nl","Translated: I am surrounded by love, peace, and tranquility. to en","Translated: I am surrounded by love, peace, and tranquility. to et"
,,,"I am a beacon of light, spreading positivity.",positive,,"Translated: I am a beacon of light, spreading positivity. to bg","Translated: I am a beacon of light, spreading positivity. to hr","Translated: I am a beacon of light, spreading positivity. to cs","Translated: I am a beacon of light, spreading positivity. to da","Translated: I am a beacon of light, spreading positivity. to nl","Translated: I am a beacon of light, spreading positivity. to en","Translated: I am a beacon of light, spreading positivity. to et"
,,,I am in control of my thoughts and emotions.,positive,,Translated: I am in control of my thoughts and emotions. to bg,Translated: I am in control of my thoughts and emotions. to hr,Translated: I am in control of my thoughts and emotions. to cs,Translated: I am in control of my thoughts and emotions. to da,Translated: I am in control of my thoughts and emotions. to nl,Translated: I am in control of my thoughts and emotions. to en,Translated: I am in control of my thoughts and emotions. to et
,,,I am a vessel of love and kindness.,positive,,Translated: I am a vessel of love and kindness. to bg,Translated: I am a vessel of love and kindness. to hr,Translated: I am a vessel of love and kindness. to cs,Translated: I am a vessel of love and kindness. to da,Translated: I am a vessel of love and kindness. to nl,Translated: I am a vessel of love and kindness. to en,Translated: I am a vessel of love and kindness. to et
,,,I am attracting opportunities that align with my purpose.,positive,,Translated: I am attracting opportunities that align with my purpose. to bg,Translated: I am attracting opportunities that align with my purpose. to hr,Translated: I am attracting opportunities that align with my purpose. to cs,Translated: I am attracting opportunities that align with my purpose. to da,Translated: I am attracting opportunities that align with my purpose. to nl,Translated: I am attracting opportunities that align with my purpose. to en,Translated: I am attracting opportunities that align with my purpose. to et
,,,I am grateful for the abundant love in my life.,positive,,Translated: I am grateful for the abundant love in my life. to bg,Translated: I am grateful for the abundant love in my life. to hr,Translated: I am grateful for the abundant love in my life. to cs,Translated: I am grateful for the abundant love in my life. to da,Translated: I am grateful for the abundant love in my life. to nl,Translated: I am grateful for the abundant love in my life. to en,Translated: I am grateful for the abundant love in my life. to et
,,,I am a source of inspiration for those around me.,positive,,Translated: I am a source of inspiration for those around me. to bg,Translated: I am a source of inspiration for those around me. to hr,Translated: I am a source of inspiration for those around me. to cs,Translated: I am a source of inspiration for those around me. to da,Translated: I am a source of inspiration for those around me. to nl,Translated: I am a source of inspiration for those around me. to en,Translated: I am a source of inspiration for those around me. to et
,,,I am deserving of success and prosperity.,positive,,Translated: I am deserving of success and prosperity. to bg,Translated: I am deserving of success and prosperity. to hr,Translated: I am deserving of success and prosperity. to cs,Translated: I am deserving of success and prosperity. to da,Translated: I am deserving of success and prosperity. to nl,Translated: I am deserving of success and prosperity. to en,Translated: I am deserving of success and prosperity. to et
,,,I am open to the limitless possibilities of the universe.,positive,,Translated: I am open to the limitless possibilities of the universe. to bg,Translated: I am open to the limitless possibilities of the universe. to hr,Translated: I am open to the limitless possibilities of the universe. to cs,Translated: I am open to the limitless possibilities of the universe. to da,Translated: I am open to the limitless possibilities of the universe. to nl,Translated: I am open to the limitless possibilities of the universe. to en,Translated: I am open to the limitless possibilities of the universe. to et
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr,Translated: I am confident in my ability to achieve my goals. to cs,Translated: I am confident in my ability to achieve my goals. to da,Translated: I am confident in my ability to achieve my goals. to nl,Translated: I am confident in my ability to achieve my goals. to en,Translated: I am confident in my ability to achieve my goals. to et
,,,I am surrounded by positive energy.,positive,,Translated: I am surrounded by positive energy. to bg,Translated: I am surrounded by positive energy. to hr,Translated: I am surrounded by positive energy. to cs,Translated: I am surrounded by positive energy. to da,Translated: I am surrounded by positive energy. to nl,Translated: I am surrounded by positive energy. to en,Translated: I am surrounded by positive energy. to et
,,,I am a powerful creator of my reality.,positive,,Translated: I am a powerful creator of my reality. to bg,Translated: I am a powerful creator of my reality. to hr,Translated: I am a powerful creator of my reality. to cs,Translated: I am a powerful creator of my reality. to da,Translated: I am a powerful creator of my reality. to nl,Translated: I am a powerful creator of my reality. to en,Translated: I am a powerful creator of my reality. to et
,,,I am aligned with the energy of abundance.,positive,,Translated: I am aligned with the energy of abundance. to bg,Translated: I am aligned with the energy of abundance. to hr,Translated: I am aligned with the energy of abundance. to cs,Translated: I am aligned with the energy of abundance. to da,Translated: I am aligned with the energy of abundance. to nl,Translated: I am aligned with the energy of abundance. to en,Translated: I am aligned with the energy of abundance. to et
