Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation
,,,Success is my natural state of being.,positive,,Translated: Success is my natural state of being. to bg,Translated: Success is my natural state of being. to hr
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr
,,,I am a powerful creator of my reality.,positive,,Translated: I am a powerful creator of my reality. to bg,Translated: I am a powerful creator of my reality. to hr
,,,I am deserving of success and prosperity.,positive,,Translated: I am deserving of success and prosperity. to bg,Translated: I am deserving of success and prosperity. to hr
,,,I am committed to achieving my dreams.,positive,,Translated: I am committed to achieving my dreams. to bg,Translated: I am committed to achieving my dreams. to hr
,,,I attract opportunities that lead to my success.,positive,,Translated: I attract opportunities that lead to my success. to bg,Translated: I attract opportunities that lead to my success. to hr
,,,I am worthy of love and happiness.,positive,,Translated: I am worthy of love and happiness. to bg,Translated: I am worthy of love and happiness. to hr
,,,I trust in my abilities and intuition.,positive,,Translated: I trust in my abilities and intuition. to bg,Translated: I trust in my abilities and intuition. to hr
,,,Every day is an opportunity for growth.,positive,,Translated: Every day is an opportunity for growth. to bg,Translated: Every day is an opportunity for growth. to hr
,,,I am surrounded by positive energy.,positive,,Translated: I am surrounded by positive energy. to bg,Translated: I am surrounded by positive energy. to hr
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr"
,,,My life is filled with purpose and meaning.,positive,,Translated: My life is filled with purpose and meaning. to bg,Translated: My life is filled with purpose and meaning. to hr
,,,I am a magnet for success and abundance.,positive,,Translated: I am a magnet for success and abundance. to bg,Translated: I am a magnet for success and abundance. to hr
,,,I am open to receiving love and joy.,positive,,Translated: I am open to receiving love and joy. to bg,Translated: I am open to receiving love and joy. to hr
,,,I release all fears and doubts.,positive,,Translated: I release all fears and doubts. to bg,Translated: I release all fears and doubts. to hr
,,,I am grateful for the present moment.,positive,,Translated: I am grateful for the present moment. to bg,Translated: I am grateful for the present moment. to hr
,,,I am resilient in the face of challenges.,positive,,Translated: I am resilient in the face of challenges. to bg,Translated: I am resilient in the face of challenges. to hr
,,,I attract positive opportunities into my life.,positive,,Translated: I attract positive opportunities into my life. to bg,Translated: I attract positive opportunities into my life. to hr
,,,I am a source of inspiration for others.,positive,,Translated: I am a source of inspiration for others. to bg,Translated: I am a source of inspiration for others. to hr
,,,I choose happiness in every situation.,positive,,Translated: I choose happiness in every situation. to bg,Translated: I choose happiness in every situation. to hr
,,,"My mind is clear, focused, and optimistic.",positive,,"Translated: My mind is clear, focused, and optimistic. to bg","Translated: My mind is clear, focused, and optimistic. to hr"
,,,I am at peace with my past and excited for the future.,positive,,Translated: I am at peace with my past and excited for the future. to bg,Translated: I am at peace with my past and excited for the future. to hr
,,,I am a beacon of light and positivity.,positive,,Translated: I am a beacon of light and positivity. to bg,Translated: I am a beacon of light and positivity. to hr
,,,I radiate confidence and self-assurance.,positive,,Translated: I radiate confidence and self-assurance. to bg,Translated: I radiate confidence and self-assurance. to hr
,,,I am deserving of all the good things life offers.,positive,,Translated: I am deserving of all the good things life offers. to bg,Translated: I am deserving of all the good things life offers. to hr
,,,I am in control of my thoughts and emotions.,positive,,Translated: I am in control of my thoughts and emotions. to bg,Translated: I am in control of my thoughts and emotions. to hr
,,,"I am a constant work in progress, and that's okay.",positive,,"Translated: I am a constant work in progress, and that's okay. to bg","Translated: I am a constant work in progress, and that's okay. to hr"
,,,I am open to the abundance of the universe.,positive,,Translated: I am open to the abundance of the universe. to bg,Translated: I am open to the abundance of the universe. to hr
,,,I am a channel for creativity and inspiration.,positive,,Translated: I am a channel for creativity and inspiration. to bg,Translated: I am a channel for creativity and inspiration. to hr
,,,I am a source of love and compassion.,positive,,Translated: I am a source of love and compassion. to bg,Translated: I am a source of love and compassion. to hr
,,,I am creating a life that aligns with my values.,positive,,Translated: I am creating a life that aligns with my values. to bg,Translated: I am creating a life that aligns with my values. to hr
,,,I am open to new and exciting possibilities.,positive,,Translated: I am open to new and exciting possibilities. to bg,Translated: I am open to new and exciting possibilities. to hr
,,,I am a unique and valuable individual.,positive,,Translated: I am a unique and valuable individual. to bg,Translated: I am a unique and valuable individual. to hr
,,,I attract positive and supportive people into my life.,positive,,Translated: I attract positive and supportive people into my life. to bg,Translated: I attract positive and supportive people into my life. to hr
,,,I am grateful for the love that surrounds me.,positive,,Translated: I am grateful for the love that surrounds me. to bg,Translated: I am grateful for the love that surrounds me. to hr
,,,I am a powerful force for positive change.,positive,,Translated: I am a powerful force for positive change. to bg,Translated: I am a powerful force for positive change. to hr
,,,I am deserving of success in all areas of my life.,positive,,Translated: I am deserving of success in all areas of my life. to bg,Translated: I am deserving of success in all areas of my life. to hr
,,,I am a magnet for miracles and serendipitous moments.,positive,,Translated: I am a magnet for miracles and serendipitous moments. to bg,Translated: I am a magnet for miracles and serendipitous moments. to hr
,,,I am grateful for the simple pleasures in life.,positive,,Translated: I am grateful for the simple pleasures in life. to bg,Translated: I am grateful for the simple pleasures in life. to hr
,,,I am at peace with my journey and trust the process.,positive,,Translated: I am at peace with my journey and trust the process. to bg,Translated: I am at peace with my journey and trust the process. to hr
,,,"I am resilient, and I bounce back from challenges.",positive,,"Translated: I am resilient, and I bounce back from challenges. to bg","Translated: I am resilient, and I bounce back from challenges. to hr"
,,,"I am surrounded by beauty, grace, and harmony.",positive,,"Translated: I am surrounded by beauty, grace, and harmony. to bg","Translated: I am surrounded by beauty, grace, and harmony. to hr"
,,,I am a vessel of love and kindness.,positive,,Translated: I am a vessel of love and kindness. to bg,Translated: I am a vessel of love and kindness. to hr
,,,I am open to receiving the blessings of the universe.,positive,,Translated: I am open to receiving the blessings of the universe. to bg,Translated: I am open to receiving the blessings of the universe. to hr
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr
,,,"I am a beacon of light, spreading positivity to others.",positive,,"Translated: I am a beacon of light, spreading positivity to others. to bg","Translated: I am a beacon of light, spreading positivity to others. to hr"
,,,I am worthy of love and happiness.,positive,,Translated: I am worthy of love and happiness. to bg,Translated: I am worthy of love and happiness. to hr
,,,I trust in my abilities and intuition.,positive,,Translated: I trust in my abilities and intuition. to bg,Translated: I trust in my abilities and intuition. to hr
,,,Every day is an opportunity for growth.,positive,,Translated: Every day is an opportunity for growth. to bg,Translated: Every day is an opportunity for growth. to hr
,,,I am surrounded by positive energy.,positive,,Translated: I am surrounded by positive energy. to bg,Translated: I am surrounded by positive energy. to hr
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr"
,,,My life is filled with purpose and meaning.,positive,,Translated: My life is filled with purpose and meaning. to bg,Translated: My life is filled with purpose and meaning. to hr
,,,I am a magnet for success and abundance.,positive,,Translated: I am a magnet for success and abundance. to bg,Translated: I am a magnet for success and abundance. to hr
,,,I am open to receiving love and joy.,positive,,Translated: I am open to receiving love and joy. to bg,Translated: I am open to receiving love and joy. to hr
,,,I release all fears and doubts.,positive,,Translated: I release all fears and doubts. to bg,Translated: I release all fears and doubts. to hr
,,,I am grateful for the present moment.,positive,,Translated: I am grateful for the present moment. to bg,Translated: I am grateful for the present moment. to hr
,,,I am resilient in the face of challenges.,positive,,Translated: I am resilient in the face of challenges. to bg,Translated: I am resilient in the face of challenges. to hr
,,,I attract positive opportunities into my life.,positive,,Translated: I attract positive opportunities into my life. to bg,Translated: I attract positive opportunities into my life. to hr
,,,I am a source of inspiration for others.,positive,,Translated: I am a source of inspiration for others. to bg,Translated: I am a source of inspiration for others. to hr
,,,I choose happiness in every situation.,positive,,Translated: I choose happiness in every situation. to bg,Translated: I choose happiness in every situation. to hr
,,,"My mind is clear, focused, and optimistic.",positive,,"Translated: My mind is clear, focused, and optimistic. to bg","Translated: My mind is clear, focused, and optimistic. to hr"
,,,I am at peace with my past and excited for the future.,positive,,Translated: I am at peace with my past and excited for the future. to bg,Translated: I am at peace with my past and excited for the future. to hr
,,,I am a beacon of light and positivity.,positive,,Translated: I am a beacon of light and positivity. to bg,Translated: I am a beacon of light and positivity. to hr
,,,I radiate confidence and self-assurance.,positive,,Translated: I radiate confidence and self-assurance. to bg,Translated: I radiate confidence and self-assurance. to hr
,,,I am deserving of all the good things life offers.,positive,,Translated: I am deserving of all the good things life offers. to bg,Translated: I am deserving of all the good things life offers. to hr
,,,I am in control of my thoughts and emotions.,positive,,Translated: I am in control of my thoughts and emotions. to bg,Translated: I am in control of my thoughts and emotions. to hr
,,,"I am a constant work in progress, and that's okay.",positive,,"Translated: I am a constant work in progress, and that's okay. to bg","Translated: I am a constant work in progress, and that's okay. to hr"
,,,I am open to the abundance of the universe.,positive,,Translated: I am open to the abundance of the universe. to bg,Translated: I am open to the abundance of the universe. to hr
,,,I am a channel for creativity and inspiration.,positive,,Translated: I am a channel for creativity and inspiration. to bg,Translated: I am a channel for creativity and inspiration. to hr
,,,I am a source of love and compassion.,positive,,Translated: I am a source of love and compassion. to bg,Translated: I am a source of love and compassion. to hr
,,,I am creating a life that aligns with my values.,positive,,Translated: I am creating a life that aligns with my values. to bg,Translated: I am creating a life that aligns with my values. to hr
,,,I am open to new and exciting possibilities.,positive,,Translated: I am open to new and exciting possibilities. to bg,Translated: I am open to new and exciting possibilities. to hr
,,,I am a unique and valuable individual.,positive,,Translated: I am a unique and valuable individual. to bg,Translated: I am a unique and valuable individual. to hr
,,,I attract positive and supportive people into my life.,positive,,Translated: I attract positive and supportive people into my life. to bg,Translated: I attract positive and supportive people into my life. to hr
,,,I am grateful for the love that surrounds me.,positive,,Translated: I am grateful for the love that surrounds me. to bg,Translated: I am grateful for the love that surrounds me. to hr
,,,I am a powerful force for positive change.,positive,,Translated: I am a powerful force for positive change. to bg,Translated: I am a powerful force for positive change. to hr
,,,I am deserving of success in all areas of my life.,positive,,Translated: I am deserving of success in all areas of my life. to bg,Translated: I am deserving of success in all areas of my life. to hr
,,,I am a magnet for miracles and serendipitous moments.,positive,,Translated: I am a magnet for miracles and serendipitous moments. to bg,Translated: I am a magnet for miracles and serendipitous moments. to hr
,,,I am grateful for the simple pleasures in life.,positive,,Translated: I am grateful for the simple pleasures in life. to bg,Translated: I am grateful for the simple pleasures in life. to hr
,,,I am at peace with my journey and trust the process.,positive,,Translated: I am at peace with my journey and trust the process. to bg,Translated: I am at peace with my journey and trust the process. to hr
,,,"I am resilient, and I bounce back from challenges.",positive,,"Translated: I am resilient, and I bounce back from challenges. to bg","Translated: I am resilient, and I bounce back from challenges. to hr"
,,,"I am surrounded by beauty, grace, and harmony.",positive,,"Translated: I am surrounded by beauty, grace, and harmony. to bg","Translated: I am surrounded by beauty, grace, and harmony. to hr"
,,,I am a vessel of love and kindness.,positive,,Translated: I am a vessel of love and kindness. to bg,Translated: I am a vessel of love and kindness. to hr
,,,I am open to receiving the blessings of the universe.,positive,,Translated: I am open to receiving the blessings of the universe. to bg,Translated: I am open to receiving the blessings of the universe. to hr
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr
,,,"I am a beacon of light, spreading positivity to others.",positive,,"Translated: I am a beacon of light, spreading positivity to others. to bg","Translated: I am a beacon of light, spreading positivity to others. to hr"
,,,I am open to the abundance of the universe.,positive,,Translated: I am open to the abundance of the universe. to bg,Translated: I am open to the abundance of the universe. to hr
,,,I trust in the timing of my life.,positive,,Translated: I trust in the timing of my life. to bg,Translated: I trust in the timing of my life. to hr
,,,I am a source of love and inspiration.,positive,,Translated: I am a source of love and inspiration. to bg,Translated: I am a source of love and inspiration. to hr
,,,I am grateful for the lessons that challenges bring.,positive,,Translated: I am grateful for the lessons that challenges bring. to bg,Translated: I am grateful for the lessons that challenges bring. to hr
,,,I am a magnet for success and positive outcomes.,positive,,Translated: I am a magnet for success and positive outcomes. to bg,Translated: I am a magnet for success and positive outcomes. to hr
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr
,,,I am surrounded by opportunities for growth.,positive,,Translated: I am surrounded by opportunities for growth. to bg,Translated: I am surrounded by opportunities for growth. to hr
,,,I am worthy of all the good things life has to offer.,positive,,Translated: I am worthy of all the good things life has to offer. to bg,Translated: I am worthy of all the good things life has to offer. to hr
,,,I choose to focus on what I can control.,positive,,Translated: I choose to focus on what I can control. to bg,Translated: I choose to focus on what I can control. to hr
,,,I am a beacon of hope and positivity.,positive,,Translated: I am a beacon of hope and positivity. to bg,Translated: I am a beacon of hope and positivity. to hr
,,,I am resilient and can overcome any obstacle.,positive,,Translated: I am resilient and can overcome any obstacle. to bg,Translated: I am resilient and can overcome any obstacle. to hr
,,,I am surrounded by supportive and loving people.,positive,,Translated: I am surrounded by supportive and loving people. to bg,Translated: I am surrounded by supportive and loving people. to hr
,,,"I am at peace with my past, present, and future.",positive,,"Translated: I am at peace with my past, present, and future. to bg","Translated: I am at peace with my past, present, and future. to hr"
,,,I am creating a life filled with joy and purpose.,positive,,Translated: I am creating a life filled with joy and purpose. to bg,Translated: I am creating a life filled with joy and purpose. to hr
,,,I am a powerful creator of my own reality.,positive,,Translated: I am a powerful creator of my own reality. to bg,Translated: I am a powerful creator of my own reality. to hr
,,,"I trust the journey, even when I do not understand it.",positive,,"Translated: I trust the journey, even when I do not understand it. to bg","Translated: I trust the journey, even when I do not understand it. to hr"
,,,I am grateful for the beauty that life brings.,positive,,Translated: I am grateful for the beauty that life brings. to bg,Translated: I am grateful for the beauty that life brings. to hr
,,,I am deserving of all the good things life offers.,positive,,Translated: I am deserving of all the good things life offers. to bg,Translated: I am deserving of all the good things life offers. to hr
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr"
,,,I attract positive energy with every breath I take.,positive,,Translated: I attract positive energy with every breath I take. to bg,Translated: I attract positive energy with every breath I take. to hr
,,,"I am a vessel of love, compassion, and kindness.",positive,,"Translated: I am a vessel of love, compassion, and kindness. to bg","Translated: I am a vessel of love, compassion, and kindness. to hr"
,,,I am aligned with the abundance of the universe.,positive,,Translated: I am aligned with the abundance of the universe. to bg,Translated: I am aligned with the abundance of the universe. to hr
,,,I am a source of inspiration for others.,positive,,Translated: I am a source of inspiration for others. to bg,Translated: I am a source of inspiration for others. to hr
,,,I am creating a life filled with passion and purpose.,positive,,Translated: I am creating a life filled with passion and purpose. to bg,Translated: I am creating a life filled with passion and purpose. to hr
,,,I am resilient and can overcome any challenge.,positive,,Translated: I am resilient and can overcome any challenge. to bg,Translated: I am resilient and can overcome any challenge. to hr
,,,I am surrounded by opportunities for growth.,positive,,Translated: I am surrounded by opportunities for growth. to bg,Translated: I am surrounded by opportunities for growth. to hr
,,,I am worthy of success in all areas of my life.,positive,,Translated: I am worthy of success in all areas of my life. to bg,Translated: I am worthy of success in all areas of my life. to hr
,,,I am a powerful creator of my own reality.,positive,,Translated: I am a powerful creator of my own reality. to bg,Translated: I am a powerful creator of my own reality. to hr
,,,I release all fears and doubts about my abilities.,positive,,Translated: I release all fears and doubts about my abilities. to bg,Translated: I release all fears and doubts about my abilities. to hr
,,,I am open to receiving the miracles of life.,positive,,Translated: I am open to receiving the miracles of life. to bg,Translated: I am open to receiving the miracles of life. to hr
,,,I choose happiness and joy in every moment.,positive,,Translated: I choose happiness and joy in every moment. to bg,Translated: I choose happiness and joy in every moment. to hr
,,,I am a magnet for positive and fulfilling relationships.,positive,,Translated: I am a magnet for positive and fulfilling relationships. to bg,Translated: I am a magnet for positive and fulfilling relationships. to hr
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr
,,,I am a magnet for prosperity and abundance.,positive,,Translated: I am a magnet for prosperity and abundance. to bg,Translated: I am a magnet for prosperity and abundance. to hr
,,,I trust in the process of life and let go of control.,positive,,Translated: I trust in the process of life and let go of control. to bg,Translated: I trust in the process of life and let go of control. to hr
,,,"I am surrounded by love, and I attract loving relationships.",positive,,"Translated: I am surrounded by love, and I attract loving relationships. to bg","Translated: I am surrounded by love, and I attract loving relationships. to hr"
,,,"I am a beacon of light, spreading positivity to others.",positive,,"Translated: I am a beacon of light, spreading positivity to others. to bg","Translated: I am a beacon of light, spreading positivity to others. to hr"
,,,I am grateful for the simple pleasures in life.,positive,,Translated: I am grateful for the simple pleasures in life. to bg,Translated: I am grateful for the simple pleasures in life. to hr
,,,I am a unique and valuable individual.,positive,,Translated: I am a unique and valuable individual. to bg,Translated: I am a unique and valuable individual. to hr
,,,I am in harmony with the energy of the universe.,positive,,Translated: I am in harmony with the energy of the universe. to bg,Translated: I am in harmony with the energy of the universe. to hr
,,,I am deserving of all the good things coming my way.,positive,,Translated: I am deserving of all the good things coming my way. to bg,Translated: I am deserving of all the good things coming my way. to hr
,,,I am a positive influence on those around me.,positive,,Translated: I am a positive influence on those around me. to bg,Translated: I am a positive influence on those around me. to hr
,,,I am at peace with my past and excited for my future.,positive,,Translated: I am at peace with my past and excited for my future. to bg,Translated: I am at peace with my past and excited for my future. to hr
,,,I am a loving and compassionate friend.,positive,,Translated: I am a loving and compassionate friend. to bg,Translated: I am a loving and compassionate friend. to hr
,,,I am confident and believe in my abilities.,positive,,Translated: I am confident and believe in my abilities. to bg,Translated: I am confident and believe in my abilities. to hr
,,,I am open to receiving the abundance of the universe.,positive,,Translated: I am open to receiving the abundance of the universe. to bg,Translated: I am open to receiving the abundance of the universe. to hr
,,,"I am worthy of love, respect, and kindness.",positive,,"Translated: I am worthy of love, respect, and kindness. to bg","Translated: I am worthy of love, respect, and kindness. to hr"
,,,I am constantly growing and evolving.,positive,,Translated: I am constantly growing and evolving. to bg,Translated: I am constantly growing and evolving. to hr
,,,"I am resilient, and I bounce back from setbacks.",positive,,"Translated: I am resilient, and I bounce back from setbacks. to bg","Translated: I am resilient, and I bounce back from setbacks. to hr"
,,,I am a beacon of hope and inspiration.,positive,,Translated: I am a beacon of hope and inspiration. to bg,Translated: I am a beacon of hope and inspiration. to hr
,,,I am grateful for the lessons that challenges bring.,positive,,Translated: I am grateful for the lessons that challenges bring. to bg,Translated: I am grateful for the lessons that challenges bring. to hr
,,,"I am surrounded by beauty, grace, and harmony.",positive,,"Translated: I am surrounded by beauty, grace, and harmony. to bg","Translated: I am surrounded by beauty, grace, and harmony. to hr"
,,,"I am a magnet for success, and I attract positive outcomes.",positive,,"Translated: I am a magnet for success, and I attract positive outcomes. to bg","Translated: I am a magnet for success, and I attract positive outcomes. to hr"
,,,I trust that everything is unfolding for my highest good.,positive,,Translated: I trust that everything is unfolding for my highest good. to bg,Translated: I trust that everything is unfolding for my highest good. to hr
,,,I am a powerful force for positive change.,positive,,Translated: I am a powerful force for positive change. to bg,Translated: I am a powerful force for positive change. to hr
,,,I am a magnet for miracles and serendipitous events.,positive,,Translated: I am a magnet for miracles and serendipitous events. to bg,Translated: I am a magnet for miracles and serendipitous events. to hr
,,,I am deserving of success and happiness.,positive,,Translated: I am deserving of success and happiness. to bg,Translated: I am deserving of success and happiness. to hr
,,,I am a source of love and light in the world.,positive,,Translated: I am a source of love and light in the world. to bg,Translated: I am a source of love and light in the world. to hr
,,,I am open to receiving love and abundance.,positive,,Translated: I am open to receiving love and abundance. to bg,Translated: I am open to receiving love and abundance. to hr
,,,"I am resilient, and I face challenges with courage.",positive,,"Translated: I am resilient, and I face challenges with courage. to bg","Translated: I am resilient, and I face challenges with courage. to hr"
,,,I am a magnet for joy and positive experiences.,positive,,Translated: I am a magnet for joy and positive experiences. to bg,Translated: I am a magnet for joy and positive experiences. to hr
,,,I am worthy of all the blessings in my life.,positive,,Translated: I am worthy of all the blessings in my life. to bg,Translated: I am worthy of all the blessings in my life. to hr
,,,"I am confident, capable, and strong.",positive,,"Translated: I am confident, capable, and strong. to bg","Translated: I am confident, capable, and strong. to hr"
,,,"I am surrounded by love, peace, and tranquility.",positive,,"Translated: I am surrounded by love, peace, and tranquility. to bg","Translated: I am surrounded by love, peace, and tranquility. to hr"
,,,"I am a beacon of light, spreading positivity.",positive,,"Translated: I am a beacon of light, spreading positivity. to bg","Translated: I am a beacon of light, spreading positivity. to hr"
,,,I am in control of my thoughts and emotions.,positive,,Translated: I am in control of my thoughts and emotions. to bg,Translated: I am in control of my thoughts and emotions. to hr
,,,I am a vessel of love and kindness.,positive,,Translated: I am a vessel of love and kindness. to bg,Translated: I am a vessel of love and kindness. to hr
,,,I am attracting opportunities that align with my purpose.,positive,,Translated: I am attracting opportunities that align with my purpose. to bg,Translated: I am attracting opportunities that align with my purpose. to hr
,,,I am grateful for the abundant love in my life.,positive,,Translated: I am grateful for the abundant love in my life. to bg,Translated: I am grateful for the abundant love in my life. to hr
,,,I am a source of inspiration for those around me.,positive,,Translated: I am a source of inspiration for those around me. to bg,Translated: I am a source of inspiration for those around me. to hr
,,,I am deserving of success and prosperity.,positive,,Translated: I am deserving of success and prosperity. to bg,Translated: I am deserving of success and prosperity. to hr
,,,I am open to the limitless possibilities of the universe.,positive,,Translated: I am open to the limitless possibilities of the universe. to bg,Translated: I am open to the limitless possibilities of the universe. to hr
,,,I am confident in my ability to achieve my goals.,positive,,Translated: I am confident in my ability to achieve my goals. to bg,Translated: I am confident in my ability to achieve my goals. to hr
,,,I am surrounded by positive energy.,positive,,Translated: I am surrounded by positive energy. to bg,Translated: I am surrounded by positive energy. to hr
,,,I am a powerful creator of my reality.,positive,,Translated: I am a powerful creator of my reality. to bg,Translated: I am a powerful creator of my reality. to hr
,,,I am aligned with the energy of abundance.,positive,,Translated: I am aligned with the energy of abundance. to bg,Translated: I am aligned with the energy of abundance. to hr
,,,I am grateful for the abundance that flows into my life.,positive,,Translated: I am grateful for the abundance that flows into my life. to bg,Translated: I am grateful for the abundance that flows into my life. to hr
,,,I am a magnet for positive relationships.,positive,,Translated: I am a magnet for positive relationships. to bg,Translated: I am a magnet for positive relationships. to hr
,,,I am constantly evolving into the best version of myself.,positive,,Translated: I am constantly evolving into the best version of myself. to bg,Translated: I am constantly evolving into the best version of myself. to hr
,,,I am deserving of all the good things life has to offer.,positive,,Translated: I am deserving of all the good things life has to offer. to bg,Translated: I am deserving of all the good things life has to offer. to hr
,,,I am a beacon of light and love.,positive,,Translated: I am a beacon of light and love. to bg,Translated: I am a beacon of light and love. to hr
,,,I am attracting miracles into my life.,positive,,Translated: I am attracting miracles into my life. to bg,Translated: I am attracting miracles into my life. to hr
,,,"I am resilient, strong, and courageous.",positive,,"Translated: I am resilient, strong, and courageous. to bg","Translated: I am resilient, strong, and courageous. to hr"
,,,I am in charge of how I feel,positive,,Translated: I am in charge of how I feel to bg,Translated: I am in charge of how I feel to hr
,,,"I am at peace with my past, present, and future.",positive,,"Translated: I am at peace with my past, present, and future. to bg","Translated: I am at peace with my past, present, and future. to hr"
,,,"I am a constant learner, and I embrace growth.",positive,,"Translated: I am a constant learner, and I embrace growth. to bg","Translated: I am a constant learner, and I embrace growth. to hr"
,,,I am surrounded by positive and supportive energy.,positive,,Translated: I am surrounded by positive and supportive energy. to bg,Translated: I am surrounded by positive and supportive energy. to hr
,,,I am open to receiving abundance from expected and unexpected sources.,positive,,Translated: I am open to receiving abundance from expected and unexpected sources. to bg,Translated: I am open to receiving abundance from expected and unexpected sources. to hr
,,,I am creating a life that aligns with my values and passions.,positive,,Translated: I am creating a life that aligns with my values and passions. to bg,Translated: I am creating a life that aligns with my values and passions. to hr
,,,I am a vessel of creativity and inspiration.,positive,,Translated: I am a vessel of creativity and inspiration. to bg,Translated: I am a vessel of creativity and inspiration. to hr
,,,I am grateful for the abundance of love in my life.,positive,,Translated: I am grateful for the abundance of love in my life. to bg,Translated: I am grateful for the abundance of love in my life. to hr
,,,I am a magnet for positive and fulfilling relationships.,positive,,Translated: I am a magnet for positive and fulfilling relationships. to bg,Translated: I am a magnet for positive and fulfilling relationships. to hr
,,,I am worthy of success and achievement.,positive,,Translated: I am worthy of success and achievement. to bg,Translated: I am worthy of success and achievement. to hr
,,,I am a source of joy and positivity.,positive,,Translated: I am a source of joy and positivity. to bg,Translated: I am a source of joy and positivity. to hr
,,,I am confident in my ability to overcome challenges.,positive,,Translated: I am confident in my ability to overcome challenges. to bg,Translated: I am confident in my ability to overcome challenges. to hr
,,,I am open to new and exciting opportunities.,positive,,Translated: I am open to new and exciting opportunities. to bg,Translated: I am open to new and exciting opportunities. to hr
,,,I am grateful for the simple pleasures life offers.,positive,,Translated: I am grateful for the simple pleasures life offers. to bg,Translated: I am grateful for the simple pleasures life offers. to hr
,,,"I am surrounded by love, peace, and positivity.",positive,,"Translated: I am surrounded by love, peace, and positivity. to bg","Translated: I am surrounded by love, peace, and positivity. to hr"
,,,I am a powerful force for good in the world.,positive,,Translated: I am a powerful force for good in the world. to bg,Translated: I am a powerful force for good in the world. to hr
,,,"I am a beacon of light, spreading positivity to others.",positive,,"Translated: I am a beacon of light, spreading positivity to others. to bg","Translated: I am a beacon of light, spreading positivity to others. to hr"
,,,"I am attracting success, abundance, and prosperity.",positive,,"Translated: I am attracting success, abundance, and prosperity. to bg","Translated: I am attracting success, abundance, and prosperity. to hr"
,,,"I am a constant work in progress, and I celebrate my growth.",positive,,"Translated: I am a constant work in progress, and I celebrate my growth. to bg","Translated: I am a constant work in progress, and I celebrate my growth. to hr"
,,,"I am in control of my thoughts, and I choose positivity.",positive,,"Translated: I am in control of my thoughts, and I choose positivity. to bg","Translated: I am in control of my thoughts, and I choose positivity. to hr"
,,,I am deserving of all the blessings life has to offer.,positive,,Translated: I am deserving of all the blessings life has to offer. to bg,Translated: I am deserving of all the blessings life has to offer. to hr
,,,I am grateful for the wisdom gained from life's experiences.,positive,,Translated: I am grateful for the wisdom gained from life's experiences. to bg,Translated: I am grateful for the wisdom gained from life's experiences. to hr
,,,I am a magnet for positive energy and good vibes.,positive,,Translated: I am a magnet for positive energy and good vibes. to bg,Translated: I am a magnet for positive energy and good vibes. to hr
,,,"I am confident, capable, and resilient.",positive,,"Translated: I am confident, capable, and resilient. to bg","Translated: I am confident, capable, and resilient. to hr"
,,,"I am a conduit for love, kindness, and compassion.",positive,,"Translated: I am a conduit for love, kindness, and compassion. to bg","Translated: I am a conduit for love, kindness, and compassion. to hr"
,,,I am open to receiving all the goodness life has in store for me.,positive,,Translated: I am open to receiving all the goodness life has in store for me. to bg,Translated: I am open to receiving all the goodness life has in store for me. to hr
,,,I am surrounded by opportunities for personal and professional development.,positive,,Translated: I am surrounded by opportunities for personal and professional development. to bg,Translated: I am surrounded by opportunities for personal and professional development. to hr
,,,I am a source of inspiration for those around me.,positive,,Translated: I am a source of inspiration for those around me. to bg,Translated: I am a source of inspiration for those around me. to hr
,,,"I am a vessel of love, and I share it generously.",positive,,"Translated: I am a vessel of love, and I share it generously. to bg","Translated: I am a vessel of love, and I share it generously. to hr"
,,,I am grateful for the abundance of opportunities in my life.,positive,,Translated: I am grateful for the abundance of opportunities in my life. to bg,Translated: I am grateful for the abundance of opportunities in my life. to hr
,,,"I am resilient, and I face challenges with a positive attitude.",positive,,"Translated: I am resilient, and I face challenges with a positive attitude. to bg","Translated: I am resilient, and I face challenges with a positive attitude. to hr"
,,,I am attracting positive and like-minded individuals into my life.,positive,,Translated: I am attracting positive and like-minded individuals into my life. to bg,Translated: I am attracting positive and like-minded individuals into my life. to hr
